2720 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
2723 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:host.name=gggopi-HP-Pavilion-g6-NoteBook-PC
2723 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.version=1.7.0_65
2723 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.vendor=Oracle Corporation
2723 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.home=/usr/lib/jvm/java-7-openjdk-amd64/jre
2723 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.class.path=/home/gggopi/apache-storm-0.9.5/lib/math.numeric-tower-0.0.1.jar:/home/gggopi/apache-storm-0.9.5/lib/clj-stacktrace-0.2.2.jar:/home/gggopi/apache-storm-0.9.5/lib/json-simple-1.1.jar:/home/gggopi/apache-storm-0.9.5/lib/snakeyaml-1.11.jar:/home/gggopi/apache-storm-0.9.5/lib/commons-io-2.4.jar:/home/gggopi/apache-storm-0.9.5/lib/log4j-over-slf4j-1.6.6.jar:/home/gggopi/apache-storm-0.9.5/lib/hiccup-0.3.6.jar:/home/gggopi/apache-storm-0.9.5/lib/clout-1.0.1.jar:/home/gggopi/apache-storm-0.9.5/lib/tools.macro-0.1.0.jar:/home/gggopi/apache-storm-0.9.5/lib/ring-jetty-adapter-0.3.11.jar:/home/gggopi/apache-storm-0.9.5/lib/commons-lang-2.5.jar:/home/gggopi/apache-storm-0.9.5/lib/kryo-2.21.jar:/home/gggopi/apache-storm-0.9.5/lib/tools.cli-0.2.4.jar:/home/gggopi/apache-storm-0.9.5/lib/commons-exec-1.1.jar:/home/gggopi/apache-storm-0.9.5/lib/reflectasm-1.07-shaded.jar:/home/gggopi/apache-storm-0.9.5/lib/logback-core-1.0.13.jar:/home/gggopi/apache-storm-0.9.5/lib/core.incubator-0.1.0.jar:/home/gggopi/apache-storm-0.9.5/lib/jgrapht-core-0.9.0.jar:/home/gggopi/apache-storm-0.9.5/lib/joda-time-2.0.jar:/home/gggopi/apache-storm-0.9.5/lib/servlet-api-2.5.jar:/home/gggopi/apache-storm-0.9.5/lib/compojure-1.1.3.jar:/home/gggopi/apache-storm-0.9.5/lib/commons-fileupload-1.2.1.jar:/home/gggopi/apache-storm-0.9.5/lib/chill-java-0.3.5.jar:/home/gggopi/apache-storm-0.9.5/lib/ring-core-1.1.5.jar:/home/gggopi/apache-storm-0.9.5/lib/ring-servlet-0.3.11.jar:/home/gggopi/apache-storm-0.9.5/lib/objenesis-1.2.jar:/home/gggopi/apache-storm-0.9.5/lib/ring-devel-0.3.11.jar:/home/gggopi/apache-storm-0.9.5/lib/commons-codec-1.6.jar:/home/gggopi/apache-storm-0.9.5/lib/jline-2.11.jar:/home/gggopi/apache-storm-0.9.5/lib/logback-classic-1.0.13.jar:/home/gggopi/apache-storm-0.9.5/lib/clojure-1.5.1.jar:/home/gggopi/apache-storm-0.9.5/lib/minlog-1.2.jar:/home/gggopi/apache-storm-0.9.5/lib/carbonite-1.4.0.jar:/home/gggopi/apache-storm-0.9.5/lib/jetty-util-6.1.26.jar:/home/gggopi/apache-storm-0.9.5/lib/tools.logging-0.2.3.jar:/home/gggopi/apache-storm-0.9.5/lib/clj-time-0.4.1.jar:/home/gggopi/apache-storm-0.9.5/lib/asm-4.0.jar:/home/gggopi/apache-storm-0.9.5/lib/disruptor-2.10.1.jar:/home/gggopi/apache-storm-0.9.5/lib/jetty-6.1.26.jar:/home/gggopi/apache-storm-0.9.5/lib/commons-logging-1.1.3.jar:/home/gggopi/apache-storm-0.9.5/lib/storm-core-0.9.5.jar:/home/gggopi/apache-storm-0.9.5/lib/slf4j-api-1.7.5.jar:./target/myProj-1.0-SNAPSHOT.jar:/home/gggopi/apache-storm-0.9.5/conf:/home/gggopi/apache-storm-0.9.5/bin
2723 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.library.path=/usr/local/lib:/opt/local/lib:/usr/lib
2723 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.io.tmpdir=/tmp
2723 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.compiler=<NA>
2723 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:os.name=Linux
2723 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:os.arch=amd64
